Household	Health	OwnHome	Instagram	Marital	Sex	Age	Children	Education	JobSat	Income	WorkHrs	Happy
"3"	2	2	0	2	1	1	72	2	16	0	0	-1	1
"4"	4	2	1	0	1	2	43	4	12	0	5265	-1	2
"5"	3	1	0	1	1	2	55	2	18	3	936	15	1
"6"	2	0	1	1	1	2	53	2	14	0	0	-1	1
"7"	3	4	1	0	1	1	50	2	14	0	164382.03756	-1	2
"8"	2	2	0	1	1	2	23	3	11	2	7605	30	1
"9"	2	2	2	0	1	1	45	3	12	0	9945	-1	2
"10"	2	2	0	2	3	1	71	4	14	0	0	-1	2
"11"	1	0	2	2	5	2	33	5	12	0	0	-1	8
"12"	1	4	3	0	2	2	86	4	12	0	0	-1	3
"13"	4	0	2	2	1	1	32	3	12	0	2106	-1	1
"14"	1	2	0	2	1	2	60	5	98	0	0	-1	1
"15"	1	0	2	2	3	1	76	7	10	0	11115	-1	2
"16"	2	1	0	0	5	2	33	2	13	2	12870	43	2
"17"	4	1	0	0	1	1	56	6	13	2	9945	50	1
"18"	1	0	2	0	2	2	62	5	10	0	0	-1	2
"21"	2	0	1	2	5	2	58	0	12	0	31590	-1	2
"22"	2	1	0	1	5	2	32	3	11	3	0	50	2
"23"	2	0	2	1	5	2	23	2	10	3	2106	-1	1
"24"	2	1	0	0	1	2	37	2	12	0	25740	-1	1
"25"	1	3	0	1	3	2	25	2	15	4	8775	50	2
"27"	2	1	1	0	1	1	71	2	19	0	0	-1	1
"28"	3	0	2	1	5	1	22	0	14	4	0	-1	3
"29"	1	0	1	2	2	1	74	2	18	0	31590	-1	2
"30"	1	2	0	2	3	2	75	3	12	0	0	-1	3
"31"	5	0	2	2	5	1	32	0	12	0	0	-1	3
"32"	2	2	0	2	1	2	68	2	12	1	25740	50	2
"33"	3	2	1	0	1	1	55	3	12	0	56160	-1	2
"34"	2	3	0	2	1	1	46	1	14	0	0	-1	2
"35"	2	3	1	0	4	2	58	2	12	0	0	-1	3
"38"	2	2	1	0	1	2	43	2	16	0	25740	-1	2
"39"	1	1	0	1	5	2	58	0	16	1	56160	65	1
"40"	1	0	1	0	2	2	79	1	14	0	0	-1	2
"41"	2	2	0	0	5	2	40	1	12	5	8775	33	2
"42"	2	2	2	0	1	2	44	2	12	0	0	-1	3
"43"	2	0	1	2	1	2	68	2	16	0	0	-1	2
"45"	1	0	2	2	3	1	70	0	17	0	0	-1	1
"46"	1	3	0	2	5	1	28	0	15	1	38610	45	1
"47"	1	0	2	1	5	2	35	0	16	0	0	-1	2
"48"	2	2	2	0	1	1	33	0	16	0	25740	-1	3
"49"	2	1	0	2	5	1	23	0	17	2	0	-1	2
"50"	1	0	1	2	3	2	47	0	16	1	56160	-1	1
"51"	2	0	1	1	5	2	25	0	16	0	0	-1	1
"52"	2	1	1	0	1	2	70	2	12	0	0	-1	2
"53"	3	0	1	1	5	1	20	0	13	2	936	-1	1
"54"	2	2	0	2	1	1	41	2	19	2	164382.03756	45	1
"55"	4	1	1	0	1	2	53	3	16	0	2574	-1	1
"56"	2	0	1	1	1	2	42	2	16	0	21060	-1	2
"57"	1	0	2	2	3	2	40	3	17	3	11115	-1	2
"58"	1	0	9	2	3	2	57	2	17	0	31590	-1	2
"59"	1	1	0	2	3	2	59	2	20	5	4212	60	2
"60"	2	2	2	0	5	2	35	3	10	0	3042	-1	2
"61"	1	1	0	1	5	1	26	0	13	3	9945	37	2
"62"	2	0	2	2	2	1	35	2	12	0	0	-1	3
"63"	1	3	0	0	4	2	51	3	12	0	0	-1	8
"64"	2	0	2	1	3	2	39	3	13	5	9945	-1	3
"65"	1	2	3	0	5	2	27	2	11	0	0	-1	2
"66"	2	3	0	1	5	1	30	2	10	5	12870	40	2
"67"	2	0	2	1	5	1	29	2	12	0	11115	-1	2
"68"	1	3	2	0	5	2	39	6	10	0	0	-1	3
"69"	3	3	1	0	3	2	60	3	11	0	0	-1	2
"70"	1	3	1	0	2	2	74	4	6	0	0	-1	3
"71"	1	3	2	0	5	2	74	5	10	0	0	-1	3
"72"	1	2	1	0	3	2	57	2	14	0	38610	-1	1
"74"	1	0	1	0	3	1	70	4	12	0	0	-1	3
"75"	2	1	2	0	1	2	35	2	18	0	21060	-1	1
"77"	1	1	2	0	5	2	36	0	20	0	25740	-1	2
"78"	1	2	2	0	5	2	37	0	18	0	31590	-1	2
"79"	2	1	0	2	2	2	78	0	19	0	0	-1	1
"80"	2	2	0	2	5	1	41	0	12	3	0	37	1
